DatePosted,Title,Seller Type,Price,Car Make,Car Model,Car Variant,Condition,Year Manufactured,Transmission,Engine Capacity,Body Type,Location,Warranty,Mileage,Colour Type,Colour,Description
2023-08-25,4K MILEAGE 2022 Toyota Harrier 2.0 Z JBL 4CAM BSM DIM SPECIAL OFFER UNREG,Dealer, 229000,Toyota,Harrier,2.0 Z,Recond,2022,Automatic,2.0L,SUV,Kuala Lumpur,5 Years Warranty,"0 - 4,999 km",Metallic,Black,4K MILEAGE 2022 Toyota Harrier 2.0 Z JBL 4CAM BSM DIM SPECIAL OFFER UNREG  2022 TOYOTA HARRIER 2.0 Z Ã¢Â
2023-08-24,BEST Deal 2018 Toyota Estima 2.4 Aeras Premium Grey COLOR Alpine Roof Monitor UNREG,Dealer, 175000,Toyota,Estima,2.4 Aeras Premium,Recond,2018,Automatic,2.4L,MPV,Kuala Lumpur,5 Years Warranty,"65,000 - 69,999 km",Metallic,Grey / Silver,BEST Deal 2018 Toyota Estima 2.4 Aeras Premium Grey COLOR Alpine Roof Monitor UNREG  2018 TOYOTA ESTIMA 2.4 AERAS PREMIUM  Ã¢Â
2023-08-24,Cheapest Deal 2019 Toyota Vellfire 2.5 ZG Offer 2 LED UNREG 23k Mileage ONLY,Dealer, 233000,Toyota,Vellfire,ZG,Recond,2019,Automatic,2.5L,MPV,Kuala Lumpur,5 Years Warranty,"20,000 - 24,999 km",Metallic,Black,"Cheapest Deal 2019 Toyota Vellfire 2.5 ZG Offer 2 LED UNREG 23k Mileage ONLY  2019 TOYOTA VELLFIRE 2.5 ZG  * RM 233,000 after SST *offer*  * RM 233,000 after SST *offer*  * FREE 5 YEARS WARRANTY (OPEN SERVICE)  * FREE 1ST SERVICE  * FREE POLISH AND WAX  * FREE TOUCH UP  * ACCIDENT FREE  * NO HIDDEN CHARGES  * UNREGISTERED  * LOCAL AP  * 7 SEATER  * 2 POWER DOOR  * POWER BOOT  * PILOT SEATS  * ELECTRONIC MEMORY SEATS  * FULL LEATHER SEATS  * BLACK INTERIOR  * TOUCHSCREEN  * REVERSE CAMERA  * AUTO-CRUISE CONTROL  * MULTIFUNCTION STEERING  * 2 LED HEADLAMP  * PRE-CRASH SYSTEM (PCS)  * LANE KEEP ASSIST (LKA)  * KEYLESS ENTRY  * PUSH START  * 18"" ALLOY WHEEL  * ORIGINAL MILEAGE  * RM 233,000 after SST *offer*  * RM 233,000 after SST *offer*  CALL - 017-225 3605 RAY  CALL - 017-225 3605 RAY  APPRECIATE & THANKS FOR VIEWING :)"
2023-08-24,Super Deal Offer 2018 Toyota Vellfire 2.5 ZG 2 LED LAST UNIT UNREG,Dealer, 216000,Toyota,Vellfire,ZG,Recond,2018,Automatic,2.5L,MPV,Kuala Lumpur,5 Years Warranty,"70,000 - 74,999 km",Metallic,White,"Super Deal Offer 2018 Toyota Vellfire 2.5 ZG 2 LED LAST UNIT UNREG  2018 TOYOTA VELLFIRE 2.5 ZG  * RM 216,000 after SST *offer*  * RM 216,000 after SST *offer*  * FREE 5 YEARS WARRANTY (OPEN SERVICE)  * FREE 1ST SERVICE  * FREE POLISH AND WAX  * FREE TOUCH UP  * ACCIDENT FREE  * NO HIDDEN CHARGES  * UNREGISTERED  * LOCAL AP  * 7 SEATER  * 2 POWER DOOR  * POWER BOOT  * PILOT SEATS  * ELECTRONIC MEMORY SEATS  * FULL LEATHER SEATS  * BLACK INTERIOR  * ALPINE ROOF MONITOR  * ALPINE TOUCHSCREEN  * REVERSE CAMERA  * AUTO-CRUISE CONTROL  * MULTIFUNCTION STEERING  * 2 LED HEADLAMP  * PRE-CRASH SYSTEM (PCS)  * LANE KEEP ASSIST (LKA)  * KEYLESS ENTRY  * PUSH START  * 18"" ALLOY WHEEL  * ORIGINAL MILEAGE  * RM 216,000 after SST *offer*  * RM 216,000 after SST *offer*  CALL - 017-225 3605 RAY  CALL - 017-225 3605 RAY  APPRECIATE & THANKS FOR VIEWING :)"
2023-08-24,CHEAPEST 2018 Nissan Elgrand 2.5 Highway Star 250 S CHEAPEST OFFER UNREG,Dealer, 148000,Nissan,Elgrand,2.5 Highway Star,Recond,2018,Automatic,2.5L,MPV,Kuala Lumpur,5 Years Warranty,"65,000 - 69,999 km",Metallic,Black,CHEAPEST 2018 Nissan Elgrand 2.5 Highway Star 250 S CHEAPEST OFFER UNREG  2018 NISSAN ELGRAND 250 HIGHWAY STAR S  Ã¢Â
2023-08-24,Honda CITY 1.5 i-VtecÃ,Dealer, 85900,Honda,City,1.5 i-VTEC,New,2023,Automatic,1.5L,Sedan,Kuala Lumpur,5 Years Warranty,,,,Honda CITY 1.5 i-VtecÃ
2023-08-23,2020 Mercedes-Benz CLA-Class CLA45 S AMG TURBO 4MATIC  *RACE MODE *PANORAMIC *4 CAMERA,Dealer, 418888,Mercedes-Benz,CLA-Class,CLA45 S AMG,Recond,2020,Automatic,2.0L,Sedan,Selangor,1 Year Warranty,"20,000 - 24,999 km",Metallic,White,"2020 Mercedes-Benz CLA-Class CLA45 S AMG TURBO 4MATIC  *RACE MODE *PANORAMIC *4 CAMERA  MERCEDES BENZ CLA45 S 2.0 AMG TURBO 4MATIC  - YEAR 2020  - UNREGISTERED  - JAPAN SPEC  *FACELIFT  *RACE MODE  *ADVANCED PACKAGE  SPECIFICATIONS  - PANORAMIC ROOF  - KEYLESS ENTRY  - PUSH START  - MULTI FUNCTION STEERING  - PADDLE SHIFT  - RACE MODE PACKAGE  - AMG PERFORMANCE SEAT  - FULL LEATHER SEAT  - ELECTRIC SEAT WITH MEMORY CONTROL  - PREMIUM SOUND SYSTEM  - DIGITAL WIDESCREEN  - HEAD UP DISPLAY  - DYNAMIC SUSPENSION  - TRACTION CONTROL SYSTEM  - SPORT EXHAUST MODE  - TWIN DOUBLE EXHAUST  - DISTRONIC  - ACTIVE BRAKE ASSIST  - LANE KEEP ASSIST  - BLIND SPOT ASSIST  - 19"" AMG SPORT RIM  - FOOT TRUNK OPEN SENSING  - PARKING DISTANCE CONTROL WITH SURROUND VIEW CAMERA  - AND MANY MORE EXTRA FEATURES...  * Estimate Selling Price Rm418,888  (For Duty Free Zone Langkawi, Labuan, Government Purchase and Embassy in Malaysia)**T&C  ** Now Promotion Selling Price Rm428,800  (Included sst duty tax)  Our Imported cars are :  - Inspected with HIGH GRADE Quality.  - Prepared in accordance with HIGH STANDARDS.  - 100% GUARANTEE After Sales Service Provided.  VIEW TO APPRECIATE!!!  * Trusted Car Dealer in Malaysia  * View to Believe  * Recond MERCEDES BENZ CLA45 S AMG TURBO 4MATIC   For Sale  * Call to Find Out More About The Car  ***MANY MORE RECOND MERCEDES BENZ CLA45 S AMG TURBO 4MATIC PLUS ARE AVAILABLE TO CHOOSE***  WE PROVIDE :  ~ JPJ SERVICES  ~ LOAN ARRANGEMENT SERVICES  ~ HIGH AND FAST LOAN APPROVAL  ~ ACCEPT HIGH TRADE IN  ~ EXTENDED WARRANTY  .  Welcome Visit WEBSITE  *** www.AnekaAuto.com ***  { VIEW BY APPOINTMENT }  .  WHATSAPP or CALL NOW for more info & APPOINTMENT @ 016-298 9933 SALES TEAM  .  WHATSAPP or CALL NOW for more info & APPOINTMENT @ 016-298 9933 RECOND CAR SALES TEAM  .  WHATSAPP or CALL NOW for more info & APPOINTMENT @ 016-298 9933 RECOND MERCEDES BENZ CLA45 S AMG SALES AGENT  .  { VIEW BY APPOINTMENT }  (00570000E2800CTD)"
2023-08-23,2023 Isuzu Forward FRR90 5.2cc AT-MT BDM 7500Kg-13500Kg Ã¯Â¼Â,Dealer, 100600,Isuzu,Forward,FRR90,Recond,2023,Manual,5.2L,Commercial,Selangor,No Warranty,"0 - 4,999 km",Metallic,Yellow / Gold,2023 Isuzu Forward FRR90 5.2cc AT-MT BDM 7500Kg-13500Kg Ã¯Â¼Â
2023-08-23,2007 BMW 5-Series 523i 2.5 (A) Direct Owner,Dealer, 27800,BMW,5-Series,523i,Used,2007,Automatic,2.5L,Others,Melaka,No Warranty,"160,000 - 169,999 km",Metallic,Black,"2007 BMW 5-Series 523i 2.5 (A) Direct Owner  YEAR 2007-BMW 523I 2.5cc (A)  Contact & WhatsApp Us At:  Ivan		: 0111-666 9292	www.wasap.my/6    Show Phone Number   2  VEHICLE Info :-  -Year 2007 / Direct Owner  -2.5cc Auto Petrol / Gear + Engine Smooth  -CD Radio Player Original + Air Conditioner ok  -Car In Good Condition & Safe To Use  -Cash Only  FACEBOOK : PERNIAGAAN MOTOR KLEBANG  Perniagaan Motor Klebang  Address: No.5777-C, Jalan Klebang Kecil, Limbongan, 75200 Melaka.  Operation Day: Mon-Sat  Operation Time: 9:00am - 5:30pm  Hotline : 0111-666 9292 / www.wasap.my/6    Show Phone Number   2  MAP LOCATION : https://www.google.com/maps/place/Perniagaan+Motor+Klebang,+Jalan+Tengkera,+Kampung+Limbongan,+75200+Klebang,+Malacca/@2.2054266,102.2199833,16z/data=!4m2!3m1!1s0x31d1f1ae238c4a73:0xabf4a2644326fab7?hl=en&source=lmns  CARELINE 24 Hour Service :-Ã"
2023-08-22,2018 Toyota Alphard 2.5 SC JBL Sounds Systems,Dealer, 255000,Toyota,Alphard,2.5 SC,Recond,2018,Automatic,2.5L,MPV,Selangor,5 Years Warranty,"45,000 - 49,999 km",Metallic,White,"2018 Toyota Alphard 2.5 SC JBL Sounds Systems  ASALAMMUALAIKUM DAN SALAM SEJAHTERA...  *** SPECIAL MERDEKA 66 YEARS PROMOTIONS !!!***  ### UP TO 5 YEARS WARRANTY(save up to RM6,414.00)  ### Free Touch Up Interior (save RM850.00)  ### Free Touch Exterior (save up to RM3,000.00)  ### Free Service Before Delivery(save RM650.00)  ### Free Polish 3 LAYER(save RM750.00)  ### Free Branded Voucher Tinted(RM500.00)!!!  ~ TOYOTA ALPHARD 2.5 SC JBL...  ~ YEAR MADE 2018...  ~ DIRECT SALESMAN AP HOLDER!!!(NOT BROKER!!!)  ~ RECON UNREGISTERED...  ~ 3 LED...  ~ PRE-CRASH...  ~ LANE DIRECTION ASSIST...  ~ DIM...  ~ BSM...  ~ ORIGINAL MILEAGE...  ~ AUTO CRUISE...  ~ JBL TOUCH SCREEN MONITOR...  ~ ROOF MONITOR...  ~ 360Ã"
