,Year Manufactured,Engine Capacity,Warranty,Mileage,Price
0,2022,2.0,5,4999.0,229000
1,2018,2.4,5,69999.0,175000
2,2019,2.5,5,24999.0,233000
3,2018,2.5,5,74999.0,216000
4,2018,2.5,5,69999.0,148000
6,2020,2.0,1,24999.0,418888
7,2023,5.2,0,4999.0,100600
8,2007,2.5,0,169999.0,27800
9,2018,2.5,5,49999.0,255000
10,2019,2.0,1,19999.0,148000
11,2015,1.0,0,59999.0,23000
14,2003,1.3,0,299999.0,2500
18,2019,1.6,5,24999.0,176800
19,2019,1.2,5,24999.0,137800
21,2019,2.0,1,14999.0,166000
22,2018,2.0,5,19999.0,173800
23,2018,2.0,1,34999.0,173888
24,2019,2.0,3,44999.0,225888
25,2021,2.0,5,14999.0,206000
26,2021,2.0,5,19999.0,210000
27,2018,2.5,5,59999.0,227000
28,2021,2.0,5,24999.0,229000
29,2011,1.6,0,84999.0,23800
30,2022,2.0,5,14999.0,243000
31,2017,2.0,0,99999.0,239800
32,2018,2.0,1,19999.0,145000
33,2012,2.0,0,99999.0,35800
35,2019,1.2,1,54999.0,67000
36,2019,2.0,5,29999.0,205888
37,2008,2.5,0,159999.0,18800
38,2016,2.0,1,44999.0,124800
39,2020,2.0,5,39999.0,156000
40,2021,2.0,5,24999.0,208000
41,2018,2.5,5,9999.0,228000
42,2014,2.0,0,89999.0,109800
43,2019,2.0,1,19999.0,151000
44,2019,2.5,5,24999.0,193888
45,2019,2.5,5,29999.0,238888
46,2019,2.0,1,34999.0,138888
47,2017,2.5,1,44999.0,193800
48,2019,2.5,5,49999.0,181888
49,2018,2.5,1,34999.0,202888
50,2019,2.0,1,79999.0,216800
51,2022,2.0,0,34999.0,215800
52,2010,1.1,1,149999.0,10888
53,2020,2.0,0,54999.0,269800
54,2018,2.0,1,14999.0,148000
55,2008,1.3,0,159999.0,13800
56,2020,2.0,1,24999.0,198000
57,2020,3.0,3,9999.0,375000
58,2019,1.3,1,64999.0,185000
59,2018,2.0,1,59999.0,238000
60,2021,2.0,5,9999.0,215000
61,2019,2.0,5,24999.0,209000
62,2018,2.0,1,29999.0,283000
63,2020,1.5,5,54999.0,155000
64,2012,3.0,0,109999.0,133888
65,2020,2.0,1,19999.0,154000
66,2020,2.0,5,24999.0,159000
67,2020,1.3,1,39999.0,193000
68,2020,3.0,1,24999.0,589000
69,2018,2.2,0,89999.0,98800
70,2008,1.3,0,139999.0,13800
71,2013,1.4,0,89999.0,34800
72,2022,2.0,4,24999.0,332000
73,2021,2.0,5,19999.0,235000
74,2019,2.0,5,39999.0,146000
75,2018,2.0,5,39999.0,242000
76,2019,2.4,1,14999.0,187000
77,2019,2.0,5,34999.0,278800
78,2023,1.8,0,14999.0,90800
79,2017,4.0,0,19999.0,590800
80,2020,2.0,5,24999.0,286000
81,2004,1.5,0,139999.0,13800
82,2017,2.0,1,34999.0,113888
83,2019,2.5,1,49999.0,229888
84,2020,2.0,1,4999.0,438800
85,2018,2.0,5,24999.0,268000
86,2020,2.0,5,14999.0,318000
87,2019,2.4,1,19999.0,186000
88,2014,3.0,0,84999.0,115000
89,2014,2.0,1,99999.0,118800
90,2010,6.0,0,64999.0,119800
91,2016,3.9,0,14999.0,1160000
92,2019,2.0,1,44999.0,258800
93,2022,2.0,5,14999.0,343000
94,2018,2.0,5,84999.0,136000
98,2019,2.4,1,24999.0,182000
100,2018,3.0,1,74999.0,288000
101,2018,2.0,1,34999.0,198800
102,2020,2.0,1,24999.0,348800
103,2016,1.5,0,99999.0,52800
104,2018,1.8,0,94999.0,75800
105,2022,2.0,0,59999.0,214800
106,2018,2.0,1,69999.0,140000
107,2019,2.5,5,9999.0,265000
108,2009,1.5,0,179999.0,23900
109,2019,2.4,1,19999.0,185000
110,2019,2.0,1,34999.0,155000
111,2012,2.0,0,139999.0,49800
112,2016,2.0,1,44999.0,239800
113,2016,1.2,1,84999.0,31800
114,2013,1.4,0,74999.0,26800
115,2017,4.0,0,159999.0,69800
116,2008,2.0,0,129999.0,65500
117,2016,2.0,0,74999.0,153800
118,2016,2.0,0,109999.0,170800
119,2023,1.8,0,4999.0,50000
120,2014,1.5,0,94999.0,39800
121,2019,2.5,1,19999.0,188000
122,2010,5.2,0,54999.0,460000
123,2012,6.5,0,14999.0,1180000
124,2009,1.6,0,159999.0,9999
125,2018,2.0,0,109999.0,188800
126,2012,1.4,0,84999.0,26800
127,2018,3.9,0,24999.0,1380000
128,2021,2.0,5,24999.0,210000
129,2018,2.5,5,74999.0,196000
130,1997,2.0,0,189999.0,9800
131,2019,1.3,1,64999.0,185000
132,2020,2.5,1,19999.0,196000
133,2018,2.0,5,74999.0,149000
134,2019,2.0,5,39999.0,209000
135,2018,2.5,5,39999.0,235000
136,2019,1.3,1,29999.0,143000
137,2020,2.0,1,29999.0,385000
138,2021,2.0,5,14999.0,233000
139,2019,1.3,1,44999.0,27888
140,2015,2.5,1,99999.0,189800
141,2017,3.8,0,19999.0,795800
142,2019,1.5,1,19999.0,129000
143,2020,2.5,1,24999.0,196000
144,2018,2.5,5,54999.0,221000
145,2017,2.0,0,94999.0,239800
146,2014,2.5,0,99999.0,46800
